【备注一】通用评估标准 ：未拆标、靓板、无水泡、无进水；折痕轻微水泡扣50，反常发黑水泡扣50。连体坏、进水、已拆标当损坏机处理。,,,,,,,,,
【备注二】功能机/老款标准 ：未拆标且成色好；能正常开机进系统测试，支架不流水、不脱胶割裂；如触摸坏当外壳坏，断线无背光当损坏，连体坏当损坏。,,,,,,,,,
【备注三】比例要求 ：要求正常通话比例。若比例不正常或指定单抽买板，按外单价格或另议。,,,,,,,,,
 国产屏/ 深板整机说明 ：末尾“点数系列”多为老款机型，后两列分别对应不开机与国产屏/整机回收价；其他机型第六列统一为“深板·整机”。 ,,,,,,,,,
================================================================================,,,,,,,,,
 系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机/国产,备注
K系列,3,K10活力版,230,230,230,230,230,230,
K系列,4,K10,230,230,230,230,140,140,
K系列,5,K9Pro,140,140,140,140,140,140,详见备注一
K系列,6,K9x(6+128),175,175,175,175,175,175,
K系列,1,K9X(8+128),175,175,175,175,175,175,
K系列,2,K9X(8+256),230,230,230,230,230,230,
K系列,3,K9s,175,175,175,175,175,175,【备注一】：未拆标靓板无水泡/无进水，折痕微水泡扣50，反常发黑水泡扣50。连体坏、进水、拆标当损坏
K系列,4,K9(8+128),175,175,175,175,175,175,
K系列,5,K9(8+256),230,230,230,230,230,230,
K系列,6,k7x,175,175,175,175,175,175,详见备注一
K系列,1,K7,175,175,175,175,175,175,三星屏
K系列,2,K5(6+128),175,175,175,175,175,175,
K系列,3,K5(8+128),175,175,175,175,175,175,
K系列,4,K5(8+256),230,230,230,230,230,230,
K系列,5,K3高配,230,230,230,230,230,230,
K系列,6,K3中配,175,175,175,175,175,175,
K系列,7,K3低配,120,120,120,120,120,120,(PCGM00)三星屏
K系列,8,K1,130,130,130,130,130,130,(PBCM/T30)三星屏
点数系列,1,X9007,32,32,32,32,32,32,四成看屏好
点数系列,2,X909,32,32,32,32,32,32,
点数系列,3,X907,10,10,5,5,5,5,三星屏
点数系列,1,R833,10,10,10,10,10,/,
点数系列,2,R831T,10,10,10,10,10,/,
点数系列,3,R831S,10,10,10,10,10,/,
点数系列,4,R830s,10,10,10,10,10,/,
点数系列,5,R830,10,10,10,10,10,/,
点数系列,6,R829T,18,18,18,18,18,/,四成看屏好
点数系列,1,R8207,20,20,20,20,20,/,五成看屏好
点数系列,2,R8007,15,15,15,15,15,/,
点数系列,3,R827T,10,10,10,10,10,/,
