系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机,备注
Y系列,5,Y70t,175,175,175,175,175,175,"【备注一】未拆标靓板无水泡/无进水折痕微水泡扣50，反常发黑水泡扣50。连体坏、进水、拆标当损坏"
Y系列,6,y70s,175,175,175,175,175,175,详见备注一
Y系列,1,Y60,550,450,450,450,200,150,
Y系列,2,Y6,240,240,240,240,150,150,
Y系列,3,Y69,45,45,45,45,45,45,
Y系列,4,Y67a,70,70,70,70,70,70,
Y系列,5,Y67,70,70,70,70,70,70,
Y系列,6,Y66ia,60,60,60,60,60,60,
Y系列,1,Y66i,60,60,60,60,60,60,
Y系列,2,y66L,60,60,60,60,60,60,
Y系列,3,Y66,60,60,60,60,60,60,
Y系列,4,y55t,105,105,105,105,95,95,
Y系列,5,Y55a,30,30,30,30,30,30,
Y系列,6,Y55s,180,180,180,180,180,180,详见备注一
Y系列,1,Y55,30,30,30,30,30,30,
Y系列,2,Y53t,105,105,105,105,105,105,
Y系列,3,Y53s (8+128),175,175,175,175,175,175,
Y系列,4,Y53s (8+256),230,230,230,230,230,230,
Y系列,5,Y53,30,30,30,30,30,30,
Y系列,6,y52s t1 (8+256),230,230,230,230,230,230,
Y系列,1,Y52S,175,175,175,175,175,175,详见备注一
Y系列,2,Y51s,175,175,175,175,175,175,详见备注一
Y系列,3,Y51A,25,25,25,25,25,25,
Y系列,4,Y51,25,25,25,25,25,25,
Y系列,5,Y50,175,175,175,175,175,175,详见备注一
Y系列,6,y50e,175,175,175,175,175,175,
Y系列,1,Y50 5G,175,175,175,175,175,175,
Y系列,2,Y50m 5G,175,175,175,175,175,175,
Y系列,3,Y37,175,175,175,175,175,175,
Y系列,4,Y50t,175,175,175,175,175,175,详见备注一
Y系列,5,y5s,195,195,195,195,195,195,"【备注二】要求电好，靓壳开机"
Y系列,6,y37Pro,250,250,250,250,150,150,
Y系列,1,y36t,175,175,175,175,175,175,
Y系列,2,y37,175,175,175,175,175,175,
Y系列,3,y37c,175,175,175,175,175,175,
Y系列,4,y37t,175,175,175,175,175,175,
Y系列,5,Y36m,175,175,175,175,175,175,
Y系列,6,Y36c,175,175,175,175,175,175,
Y系列,7,Y36i,175,175,175,175,175,175,
Y系列,8,Y36,175,175,175,175,175,175,
Y系列,1,Y35m+,180,180,180,180,180,180,
Y系列,2,Y35+ (8+128),175,175,175,175,175,175,
Y系列,3,Y35+ (8+256),230,230,230,230,230,230,
Y系列,4,Y35,175,175,175,175,175,175,
Y系列,5,Y35m,175,175,175,175,175,175,
Y系列,1,y33t,90,90,90,90,75,75,
Y系列,2,Y33E,175,175,175,175,175,175,
Y系列,3,Y33s,175,175,175,175,175,175,
